Wins Above Replacement--all
1 | Bellinger | LAD | 6.7
2 | Trout | LAA | 6.2
3 | Minor | TEX | 5.7
4 | Scherzer | WSN | 5.5
5 | Yelich | MIL | 5.0
6 | Lynn | TEX | 4.6
7 | Chapman | OAK | 4.5
8 | Bregman | HOU | 4.5
9 | Greinke | ARI | 4.4
9 | Polanco | MIN | 4.4


WAR Position Players
1 | Bellinger | LAD | 6.7
2 | Trout | LAA | 6.2
3 | Yelich | MIL | 5.0
4 | Chapman | OAK | 4.5
5 | Bregman | HOU | 4.5
6 | Polanco | MIN | 4.4
7 | Alonso | NYM | 4.0
8 | Marte | ARI | 3.8
9 | Devers | BOS | 3.8
10 | Semien | OAK | 3.7


Offensive WAR
1 | Trout | LAA | 5.9
2 | Bellinger | LAD | 4.9
3 | Yelich | MIL | 4.8
4 | Bogaerts | BOS | 4.2
5 | Alonso | NYM | 4.0
6 | Bregman | HOU | 3.9
7 | Polanco | MIN | 3.6
8 | Devers | BOS | 3.6
9 | Bryant | CHC | 3.6
10 | Chapman | OAK | 3.6


Defensive WAR
1 | Ahmed | ARI | 2.0
2 | Rojas | MIA | 1.8
3 | Story | COL | 1.6
4 | Bellinger | LAD | 1.5
5 | Kiermaier | TBR | 1.4
6 | Realmuto | PHI | 1.3
7 | Buxton | MIN | 1.3
8 | Maldonado | KCR | 1.3
9 | Chirinos | HOU | 1.2
10 | Chapman | OAK | 1.2


Batting Average
1 | McNeil | NYM | .350
2 | Bellinger | LAD | .338
3 | LeMahieu | NYY | .330
4 | Yelich | MIL | .328
5 | Blackmon | COL | .327
6 | Devers | BOS | .327
7 | Brantley | HOU | .323
8 | Polanco | MIN | .315
9 | Anderson | CHW | .317 **
10 | Arenado | COL | .312


On-Base%
1 | Trout | LAA | .456
2 | Bellinger | LAD | .433
3 | Yelich | MIL | .429
4 | Santana | CLE | .412
5 | McNeil | NYM | .410
6 | Soto | WSN | .406
7 | Hoskins | PHI | .405
8 | Bryant | CHC | .401
9 | Bregman | HOU | .398
10 | Voit | NYY | .393


Slugging %
1 | Yelich | MIL | .701
2 | Bellinger | LAD | .695
